business_id|cuisine
gXnC_aZR09BvqEQKGKFjBg|Chinese
wcrra8bgoqXVcZpMM5fE1g|Chinese
C2o3Iw-DXjoUJFgQIbiqkQ|Chinese
zubN8Ve-RyoljRZV4NRxEQ|Chinese
RoPrfBqmRTqw_cBqcWAfYA|Chinese
KBZQN540Xz6LbXLRVOMc0w|Chinese
EDLKX7cCxPbmbmo1XG3xJQ|Chinese
hdiQrGDT8enOzpxaipBzNA|Chinese
Aux2Mp7bGnF3S6h60ab3iQ|Chinese
xSY8MI449l9HvKJKBSlVHA|Chinese
EFihj7vsRRXiF5la-UURyw|Chinese
R0y03SFOY0BdHRUT1LSO0Q|Chinese
xOL2SC34gdhKHSbyaDz9BA|Chinese
N_5VwtCoXPhHdlz1JQbIoQ|Chinese
cqj7o7uZ_jboXL0BqO4YMg|Chinese
2tR7d61tBGNlGaJRYvrN0Q|Chinese
nBm-zxAWg_oA8JNtHxPvcw|Chinese
RTFIMX31BPeZzx7kJJ1SCA|Chinese
nxTEuWKzkK1tCF4LrhFSUQ|Chinese
Hnj8w5j6eaIt2NiSQc7TGg|Chinese
LXmlfAmrGA3NfvYSfxIVvQ|Chinese
TeBthQZ2xpxyvXheS08ovw|Chinese
fUcjBGgmTlvxXn2azvAijw|Chinese
BCkyeKuJl009EtwPBvVhzA|Chinese
8ZF3-QQ5ea8zQTeyZ2pIuQ|Chinese
xH7mEjh4Rn6KdHjXYNoOjw|Chinese
0cQcKV7eCOhw7OnflOzr9w|Chinese
Pfjb9Rn5Th7R-pLXVARwlA|Chinese
aSFBv64GBpMOFPqIleeQFQ|Chinese
zZecd370h2jxzh1kRJ4y2g|Chinese
aije_BqBVVl-6T13QsnRqQ|Chinese
Zx44jCgDv1TwKMGzcXajIQ|Chinese
U0EJ4URMoFHJEzAkMp4WWQ|Chinese
S-aX_Pz8F7nDL6kRThKcHw|Chinese
7hyQqnnAisSL-nfIWCPziQ|Chinese
ONQRhDuWv0e9R5xOiI7YAA|Chinese
SKoMUaQewpMdj1Mg8QvBNw|Chinese
azGPyK3p6HDmvQGX0AyDtg|Chinese
SFleMiroXTeWnXfonRic-w|Chinese
Aw69I2eD-lYffytWGGYM8A|Chinese
gQ6DNeLNWQV-zwWyuFeBpg|Chinese
3uXPkkEZbUrbk3e04aBZmQ|Chinese
9HD5HQiTkURkx5i7hL92EA|Chinese
IQ91FltwJmIPhS6fKKf2pw|Chinese
bGOZTD9O00OkVA1Pkt3OuQ|Chinese
yj9vVa08ABH6BBOLHMfJag|Chinese
yQiII2hHgV5aEMtIA2VG0Q|Chinese
3eBV6HwWcdHzJW3sUH-2hw|Chinese
RBpwDqMpajBLLjMKOPrUxg|Chinese
9IT7UsL-SGEz6ncR4oeJ9g|Chinese
ME0627wYk0ikhX2yf1fN7w|Chinese
rPTX2J5KGDkN1QhPD-QOvg|Chinese
_EgBjtufCZIWwUkRn53OAA|Chinese
itH4GH2Mw2D5n5kkQAtMog|Chinese
m2_ZNFos5ugAwe8ft8eaEw|Chinese
8td6qiBvZ-En6gSpPjXWzQ|Chinese
bacGm8cL-vUPHdR18_M7bw|Chinese
X3T2rK-GrEgVUai-MeXAzg|Chinese
YvMLbSK_tWmaOjYGwOUd5Q|Chinese
flHcoaHEWxACgc-Vk9MsOQ|Chinese
wxUTM-FkpCvnoTGJfSXkWg|Chinese
eRtceh_W_yniAfCqJni5Bg|Chinese
uuDvk4EsRUkeTj4jVKJOpw|Chinese
k4QfaFoqtpEZ1LZylJZqww|Chinese
J85NKgA4tOgBAoqxu0vBNw|Chinese
4mzogOLOVDPBDVTO4cz9fA|Chinese
v3qL3KqFJYuS_3rCsgpuXQ|Chinese
tguMh2GgOcU9fu6WN3dqpw|Chinese
shwaY4v3fx9tjalvHVIBxQ|Chinese
d6i6sGHtPmyUkHze5S1lIQ|Chinese
akWRnF0VFJLJD4uOnGWB-g|Chinese
_QxcsvPsYnOgPhiK6gzCfg|Chinese
8fr5FYU1ip0phERt1mrekg|Chinese
5yHuB6cT4Y82u22kOziobw|Chinese
5KDfEi17KRFD1TrzZyT4lQ|Chinese
bHGETjP_InKy0sIVHFgHyw|Chinese
cOtB9fWWLrbaBebZDjJquQ|Chinese
Rp-kcJD6Dwaq0c4Kuj6aiw|Chinese
8ObY1IkKWvx99nIOqRBshA|Chinese
kWJF8L1u5jdlkLBItUu16w|Chinese
WJS06XxRdc6DD1s4LWE9HA|Chinese
rJ4N10Nbh-GM49qOSGFoAw|Chinese
KHdYPT0jUnUGdHGaY73mxg|Chinese
Ug2_5DOrlfaU1Pce5Lvikw|Chinese
rcwEQN8lxHzkr-QtfH_b8Q|Chinese
XoJwcOxazBKvWikQCATS-w|Chinese
YCen62jqSWhPOAorQjSZdQ|Chinese
U5dCWjAxrvLLMH1ErpGfvw|Chinese
wNhO_9gY-ZRZEBSA2anXtA|Chinese
xtxcAUvrD4dWHJd0cwvW1A|Chinese
qY1o1MhoRyN84RRhUJtvpQ|Chinese
YHGGyH4hn_5UyV1rWgA5hg|Chinese
a2sxaQooPmq9r7Cc-Umunw|Chinese
eS9mTLlWwu_Ap2ROMQWPxg|Chinese
Ew3d7Vt18c1MH4_X6ogxQQ|Chinese
GzY2EjCmGNgvRd7IE20fTA|Chinese
vbL4Ef8zf4dmdR9Gyl5lkw|Chinese
BkXb82Y2OIsQ5RpNNQOYmQ|Chinese
kiRGyWovmi3vMPJ4sJudHg|Chinese
hDT_KAXQgHpchcwG5_gv0Q|Chinese
2pnhIRBUw58PpN8CQEYiZA|Chinese
